"months_as_customer","age","policy_number","policy_bind_date","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_zip","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital-gains","capital-loss","incident_date","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","incident_city","incident_location","incident_hour_of_the_day","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","total_claim_amount","injury_claim","property_claim","vehicle_claim","auto_make","auto_model","auto_year"
"202","34","608513","7/18/2002","IN","100/300","500","848.07","3000000","607730","MALE","JD","exec-managerial","chess","not-in-family","31000","-30200","1/7/2015","Vehicle Theft","?","Minor Damage","None","VA","Northbrook","3790 Andromedia Hwy","5","1","YES","2","1","?","5720","1040","520","4160","Suburu","Forrestor","2003"
"224","40","914088","2/8/1990","OH","100/300","2000","1291.7","0","609837","FEMALE","JD","sales","kayaking","not-in-family","0","-55600","1/8/2015","Single Vehicle Collision","Side Collision","Minor Damage","Other","SC","Northbend","3220 Rock Drive","21","1","NO","1","0","YES","69840","7760","15520","46560","Dodge","Neon","2009"
"241","45","596785","3/4/2014","IL","500/1000","2000","1104.5","0","432211","FEMALE","PhD","machine-op-inspct","basketball","unmarried","0","0","2/15/2015","Single Vehicle Collision","Rear Collision","Minor Damage","Police","SC","Northbrook","2100 Francis Drive","5","1","NO","2","2","NO","91650","14100","14100","63450","Accura","TL","2011"
"64","25","908616","2/18/2000","IL","250/500","1000","954.16","0","473328","MALE","Masters","prof-specialty","video-games","husband","53200","0","1/18/2015","Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","SC","Columbus","4687 5th Drive","22","4","NO","0","0","?","75600","12600","12600","50400","Toyota","Corolla","2005"
"166","37","666333","6/19/2008","IL","100/300","2000","1337.28","8000000","610393","MALE","JD","craft-repair","reading","husband","27500","0","2/28/2015","Multi-vehicle Collision","Side Collision","Major Damage","Police","WV","Riverwood","9038 2nd Lane","10","3","NO","2","2","?","67140","7460","7460","52220","Ford","F150","2006"
"155","35","336614","8/1/2003","IL","500/1000","1000","1088.34","0","614780","FEMALE","Associate","adm-clerical","yachting","other-relative","81100","0","2/24/2015","Multi-vehicle Collision","Front Collision","Total Loss","Police","NY","Arlington","6092 5th Ave","16","3","YES","2","3","NO","29790","3310","3310","23170","BMW","3 Series","2008"
"114","30","584859","4/4/1992","IL","100/300","1000","1558.29","0","472248","MALE","High School","farming-fishing","video-games","wife","51400","-64000","1/9/2015","Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","NY","Hillsdale","8353 Britain Ridge","1","3","NO","1","2","?","77110","14020","14020","49070","Suburu","Impreza","2015"
"149","37","990493","1/13/1991","IL","500/1000","500","1415.68","0","603381","MALE","PhD","prof-specialty","yachting","own-child","0","0","2/12/2015","Single Vehicle Collision","Side Collision","Total Loss","Fire","WV","Hillsdale","3540 Maple St","17","1","YES","0","1","YES","64800","10800","5400","48600","Audi","A3","1999"
"147","33","129872","8/8/2010","OH","100/300","1000","1334.15","6000000","479224","MALE","High School","craft-repair","reading","not-in-family","53300","-49200","1/24/2015","Single Vehicle Collision","Front Collision","Major Damage","Other","WV","Springfield","3104 Sky Drive","15","1","YES","2","0","YES","53100","10620","5310","37170","Mercedes","C300","1995"
"62","28","200152","3/9/2003","IL","100/300","1000","988.45","0","430141","FEMALE","Masters","protective-serv","camping","unmarried","0","0","1/9/2015","Single Vehicle Collision","Rear Collision","Total Loss","Police","NY","Northbrook","4981 Weaver St","3","1","?","1","1","YES","60200","6020","6020","48160","Suburu","Forrestor","2004"
"289","49","933293","2/3/1993","IL","500/1000","2000","1222.48","0","620757","FEMALE","JD","priv-house-serv","golf","unmarried","0","0","1/18/2015","Parked Car","?","Minor Damage","None","WV","Arlington","6676 Tree Lane","16","1","NO","1","1","YES","5330","1230","820","3280","Suburu","Legacy","2001"
"431","54","485664","11/25/2002","IN","500/1000","2000","1155.55","0","615901","FEMALE","MD","craft-repair","bungie-jumping","unmarried","65700","0","1/21/2015","Multi-vehicle Collision","Rear Collision","Major Damage","Police","NY","Hillsdale","3930 Embaracadero St","4","3","?","2","0","?","62300","12460","6230","43610","Jeep","Wrangler","2007"
"199","37","982871","7/27/1997","IN","250/500","500","1262.08","0","474615","MALE","JD","tech-support","video-games","wife","48500","0","1/8/2015","Single Vehicle Collision","Front Collision","Major Damage","Ambulance","NC","Columbus","3422 Flute St","4","1","?","0","3","NO","60170","10940","10940","38290","Nissan","Pathfinder","2011"
"79","26","206213","5/8/1995","IL","100/300","500","1451.62","0","456446","MALE","Associate","tech-support","kayaking","not-in-family","0","-55700","1/3/2015","Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","WV","Columbus","4862 Lincoln Hwy","19","1","NO","2","2","?","40000","8000","4000","28000","BMW","M5","2010"
"116","34","616337","8/30/2012","IN","250/500","500","1737.66","0","470577","MALE","Associate","transport-moving","chess","unmarried","0","-24100","1/1/2015","Single Vehicle Collision","Side Collision","Major Damage","Police","WV","Northbrook","5719 2nd Lane","1","1","?","1","1","?","97080","16180","16180","64720","BMW","X5","2001"
"37","23","448961","4/30/2006","IL","500/1000","500","1475.93","0","441648","FEMALE","College","prof-specialty","hiking","husband","0","-67400","1/16/2015","Multi-vehicle Collision","Side Collision","Minor Damage","Other","SC","Springfield","3221 Solo Ridge","17","3","YES","1","0","NO","51660","5740","5740","40180","Dodge","RAM","2010"
"106","30","790442","4/13/2003","OH","250/500","500","538.17","0","433782","FEMALE","PhD","transport-moving","reading","own-child","49700","-60200","2/10/2015","Single Vehicle Collision","Rear Collision","Total Loss","Other","NC","Arlington","6660 MLK Drive","23","1","NO","2","2","NO","51120","5680","5680","39760","Mercedes","E400","2005"
"269","44","108844","12/5/2007","IL","100/300","2000","1081.08","0","468104","MALE","JD","priv-house-serv","reading","unmarried","36400","-28700","2/14/2015","Single Vehicle Collision","Front Collision","Minor Damage","Other","SC","Springfield","1699 Oak Drive","14","1","YES","0","2","?","56400","11280","11280","33840","Toyota","Highlander","2014"
"265","40","430029","8/21/2006","IL","250/500","1000","1454.43","0","459407","FEMALE","MD","protective-serv","yachting","husband","0","0","2/21/2015","Multi-vehicle Collision","Rear Collision","Total Loss","Other","NY","Arlington","4234 Cherokee Lane","17","3","NO","2","3","?","55120","6890","0","48230","Accura","MDX","2002"
"163","33","529112","1/8/1990","IN","100/300","500","1240.47","0","472573","FEMALE","Associate","other-service","polo","husband","35300","0","2/18/2015","Multi-vehicle Collision","Rear Collision","Total Loss","Fire","NC","Northbend","7476 4th St","11","3","YES","1","1","?","77110","0","14020","63090","Honda","Civic","2014"
"355","47","939631","3/18/1990","OH","500/1000","2000","1273.7","4000000","433473","MALE","College","other-service","kayaking","husband","0","0","1/10/2015","Multi-vehicle Collision","Front Collision","Major Damage","Fire","WV","Arlington","8907 Tree Ave","19","3","NO","2","1","NO","62800","6280","6280","50240","Audi","A3","2003"
"175","34","866931","1/7/2008","IN","500/1000","1000","1123.87","8000000","446326","FEMALE","PhD","protective-serv","dancing","other-relative","0","0","2/26/2015","Vehicle Theft","?","Trivial Damage","Police","NY","Arlington","6619 Flute Ave","5","1","?","2","0","YES","7290","810","810","5670","Volkswagen","Passat","1995"
"192","35","582011","3/10/1997","IL","100/300","1000","1245.89","0","435481","FEMALE","Masters","exec-managerial","movies","wife","0","-40300","1/1/2015","Single Vehicle Collision","Rear Collision","Total Loss","Other","WV","Springfield","6011 Britain St","19","1","NO","0","0","?","76600","15320","7660","53620","Mercedes","C300","2000"
"430","59","691189","1/10/2004","OH","250/500","2000","1326.62","7000000","477310","MALE","MD","other-service","bungie-jumping","own-child","0","0","1/3/2015","Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY","Riverwood","5104 Francis Drive","19","3","?","0","3","YES","81800","16360","8180","57260","Nissan","Pathfinder","1998"
"91","27","537546","8/20/1994","IL","100/300","2000","1073.83","0","609930","FEMALE","JD","farming-fishing","polo","husband","0","0","1/17/2015","Vehicle Theft","?","Trivial Damage","None","NY","Arlington","2280 4th Ave","4","1","?","1","2","?","7260","1320","660","5280","BMW","M5","2008"
"217","39","394975","6/2/2002","IN","100/300","1000","1530.52","0","603993","MALE","College","armed-forces","basketball","not-in-family","0","0","2/22/2015","Vehicle Theft","?","Minor Damage","None","WV","Northbend","2644 Elm Drive","8","1","?","2","1","YES","4300","430","430","3440","Toyota","Corolla","2000"
"223","40","729634","4/28/1994","IN","100/300","500","1201.41","0","437818","FEMALE","JD","priv-house-serv","movies","husband","88400","-46500","1/27/2015","Multi-vehicle Collision","Side Collision","Major Damage","Police","NC","Columbus","7466 MLK Ridge","7","3","YES","1","0","?","70510","12820","12820","44870","Suburu","Forrestor","1999"
"195","39","282195","8/17/2014","OH","250/500","1000","1393.57","0","478423","MALE","PhD","machine-op-inspct","movies","not-in-family","47600","-39600","2/27/2015","Parked Car","?","Minor Damage","Police","VA","Northbend","5821 2nd St","5","1","NO","0","1","YES","2640","480","480","1680","Ford","F150","2009"
"22","26","420810","8/11/2007","OH","100/300","1000","1276.57","0","467784","MALE","PhD","craft-repair","skydiving","not-in-family","71500","0","1/6/2015","Single Vehicle Collision","Rear Collision","Minor Damage","Fire","NY","Arlington","6723 Best Drive","3","1","YES","1","2","NO","78900","15780","7890","55230","Chevrolet","Silverado","1995"
"439","56","524836","11/20/2008","IN","250/500","500","1082.49","0","606714","FEMALE","PhD","prof-specialty","chess","unmarried","36100","-55000","2/28/2015","Multi-vehicle Collision","Front Collision","Major Damage","Fire","SC","Columbus","4866 4th Hwy","12","3","?","2","3","?","56430","0","6270","50160","Honda","CRV","2014"
"94","32","307195","10/18/1995","IN","500/1000","1000","1414.74","0","464691","FEMALE","Masters","adm-clerical","hiking","own-child","0","0","2/22/2015","Parked Car","?","Minor Damage","None","VA","Riverwood","5418 Britain Ave","19","1","NO","1","3","NO","2400","300","300","1800","Chevrolet","Silverado","2014"
"11","39","623648","5/19/1993","IL","250/500","2000","1470.06","0","431683","MALE","PhD","other-service","yachting","husband","56600","-45800","1/7/2015","Single Vehicle Collision","Front Collision","Total Loss","Ambulance","WV","Riverwood","4296 Pine Hwy","22","1","YES","0","1","NO","65790","7310","7310","51170","Saab","93","2007"
"151","36","485372","2/26/2005","OH","250/500","2000","870.63","0","431725","FEMALE","MD","adm-clerical","kayaking","own-child","94800","-58500","1/6/2015","Multi-vehicle Collision","Side Collision","Minor Damage","Police","VA","Hillsdale","2299 1st St","12","3","NO","1","1","NO","62920","11440","5720","45760","Ford","Escape","2000"
"154","34","598554","2/14/1990","IN","100/300","500","795.23","0","609216","MALE","PhD","machine-op-inspct","base-jumping","other-relative","36900","0","1/10/2015","Multi-vehicle Collision","Rear Collision","Major Damage","Police","NY","Springfield","6618 Cherokee Drive","15","3","YES","2","1","?","69480","15440","0","54040","Nissan","Maxima","2014"
"245","44","303987","9/30/1993","IL","500/1000","1000","1168.2","0","452787","MALE","JD","handlers-cleaners","basketball","husband","69100","0","2/11/2015","Multi-vehicle Collision","Side Collision","Total Loss","Other","OH","Springfield","7459 Flute St","23","3","NO","0","3","NO","44280","7380","3690","33210","Honda","Accord","1997"
"119","32","343161","6/10/2014","IL","500/1000","1000","993.51","0","468767","MALE","High School","armed-forces","bungie-jumping","unmarried","0","-49500","1/12/2015","Single Vehicle Collision","Side Collision","Minor Damage","Other","WV","Hillsdale","3567 4th Drive","12","1","NO","0","3","YES","56300","5630","11260","39410","BMW","M5","2011"
"215","42","519312","10/28/2008","OH","500/1000","500","1848.81","0","435489","MALE","JD","transport-moving","video-games","own-child","0","-49000","2/6/2015","Multi-vehicle Collision","Front Collision","Major Damage","Fire","WV","Northbend","2457 Washington Ave","20","3","YES","2","2","YES","68520","11420","5710","51390","Suburu","Legacy","2003"
"295","42","132902","4/24/2007","OH","250/500","2000","1641.73","5000000","450149","MALE","PhD","sales","chess","not-in-family","62400","0","1/20/2015","Multi-vehicle Collision","Rear Collision","Total Loss","Fire","VA","Riverwood","1269 Flute Drive","16","3","NO","0","0","NO","59130","6570","6570","45990","Ford","Escape","2006"
"254","39","332867","12/13/1993","IN","100/300","500","1362.87","0","458364","FEMALE","MD","exec-managerial","chess","other-relative","35700","0","2/22/2015","Multi-vehicle Collision","Front Collision","Minor Damage","Ambulance","NY","Arlington","1218 Sky Hwy","6","3","YES","2","2","NO","82320","13720","6860","61740","Dodge","Neon","1995"
"107","31","356590","8/17/2011","IN","250/500","500","1239.22","7000000","476458","FEMALE","High School","tech-support","paintball","not-in-family","43400","-91200","1/30/2015","Single Vehicle Collision","Side Collision","Minor Damage","Fire","SC","Springfield","9169 Pine Ridge","12","1","YES","0","1","NO","89700","13800","13800","62100","Audi","A5","2009"
"478","64","346002","8/20/1990","OH","250/500","500","835.02","0","602433","FEMALE","Associate","adm-clerical","reading","unmarried","59600","0","2/2/2015","Multi-vehicle Collision","Side Collision","Minor Damage","Fire","WV","Hillsdale","8538 Texas Lane","17","3","NO","1","1","NO","33930","0","3770","30160","BMW","X6","1998"
"128","30","500533","2/11/1994","OH","100/300","1000","1061.33","0","478575","MALE","MD","machine-op-inspct","movies","own-child","43300","-66200","1/10/2015","Single Vehicle Collision","Front Collision","Major Damage","Ambulance","WV","Northbrook","5783 Oak Ave","8","1","NO","0","3","NO","68530","12460","6230","49840","Audi","A5","1997"
"338","49","348209","2/22/1994","IN","500/1000","1000","1279.08","0","449718","MALE","MD","other-service","kayaking","own-child","0","-51500","2/27/2015","Parked Car","?","Minor Damage","None","NC","Riverwood","7721 Washington Ridge","13","1","NO","0","1","?","4300","860","860","2580","Ford","F150","2004"
"271","42","486676","8/15/2011","OH","100/300","500","1105.49","0","463181","FEMALE","Associate","prof-specialty","sleeping","own-child","56200","-50000","2/20/2015","Multi-vehicle Collision","Side Collision","Major Damage","Other","SC","Hillsdale","8006 Maple Hwy","12","2","?","2","3","?","68310","12420","6210","49680","Audi","A3","2003"
"222","41","260845","11/11/1998","OH","100/300","2000","1055.53","0","441992","FEMALE","MD","armed-forces","cross-fit","not-in-family","37800","-50300","2/8/2015","Single Vehicle Collision","Front Collision","Total Loss","Other","WV","Northbrook","6751 Pine Ridge","7","1","NO","0","2","NO","61290","6810","6810","47670","Honda","Civic","1995"
"199","41","657045","12/4/1995","OH","250/500","1000","895.83","0","452597","FEMALE","Associate","sales","paintball","husband","0","0","2/11/2015","Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","NC","Arlington","2324 Texas Ridge","10","1","NO","1","2","NO","30100","3010","0","27090","Chevrolet","Malibu","1999"
"215","37","761189","12/28/2002","IN","100/300","500","1632.93","0","614417","FEMALE","College","transport-moving","golf","not-in-family","0","-42900","2/23/2015","Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","SC","Riverwood","7923 Elm Ave","7","3","NO","2","0","YES","57120","9520","4760","42840","Mercedes","C300","2002"
"192","40","175177","4/15/2004","IL","100/300","1000","1405.99","0","472895","FEMALE","Associate","sales","yachting","wife","0","0","3/1/2015","Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","VA","Springfield","4755 Best Lane","18","3","YES","1","0","YES","42930","9540","4770","28620","BMW","X6","2005"
"120","35","116700","2/2/2001","OH","100/300","1000","1425.54","0","475847","FEMALE","High School","transport-moving","bungie-jumping","other-relative","78300","0","1/15/2015","Multi-vehicle Collision","Front Collision","Total Loss","Ambulance","SC","Riverwood","5053 Tree Drive","22","3","NO","2","0","NO","51210","11380","5690","34140","Ford","Fusion","2010"
"270","45","166264","1/12/2010","OH","500/1000","1000","1038.09","0","476978","FEMALE","College","handlers-cleaners","golf","husband","0","-19700","1/14/2015","Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY","Springfield","2078 3rd Ave","18","3","NO","1","1","YES","89400","14900","7450","67050","Suburu","Legacy","1998"
"319","47","527945","4/14/1992","IN","250/500","500","1307.11","0","600648","MALE","College","transport-moving","dancing","not-in-family","0","0","2/17/2015","Multi-vehicle Collision","Front Collision","Total Loss","Police","WV","Northbrook","2804 Best St","22","3","NO","0","2","?","59730","10860","10860","38010","Audi","A3","2005"
"194","39","627540","5/21/2010","OH","500/1000","1000","1489.24","6000000","608335","FEMALE","JD","other-service","kayaking","wife","0","-45000","1/24/2015","Vehicle Theft","?","Minor Damage","None","SC","Springfield","7877 Sky Lane","15","1","YES","2","2","YES","8060","1240","1240","5580","Saab","95","2004"
"227","38","279422","10/27/2013","OH","500/1000","500","976.67","0","471600","FEMALE","PhD","handlers-cleaners","polo","unmarried","0","0","1/21/2015","Single Vehicle Collision","Rear Collision","Major Damage","Fire","SC","Northbrook","6530 Weaver Ave","16","1","?","1","2","?","72200","14440","7220","50540","BMW","M5","2013"
"137","31","484200","10/12/1994","OH","250/500","2000","1340.43","0","441175","MALE","High School","exec-managerial","paintball","husband","52700","-40600","2/19/2015","Multi-vehicle Collision","Side Collision","Minor Damage","Ambulance","NC","Arlington","3087 Oak Hwy","6","3","NO","1","2","NO","50800","10160","10160","30480","Accura","MDX","2005"
"244","40","645258","7/4/1997","OH","500/1000","2000","1267.81","5000000","603123","FEMALE","Masters","exec-managerial","video-games","wife","0","0","1/3/2015","Vehicle Theft","?","Trivial Damage","None","NC","Northbrook","7098 Lincoln Hwy","10","1","?","2","1","?","6600","660","1320","4620","Accura","TL","2005"
"78","29","694662","2/15/2011","IL","250/500","1000","1234.2","6000000","457767","MALE","Masters","other-service","bungie-jumping","other-relative","0","0","1/29/2015","Vehicle Theft","?","Minor Damage","Police","NY","Northbrook","5124 Maple St","3","1","YES","2","2","NO","7500","750","1500","5250","Nissan","Maxima","2002"
"200","35","960680","8/21/1994","IN","250/500","2000","1318.06","0","618498","MALE","High School","exec-managerial","video-games","wife","57300","-80600","1/19/2015","Vehicle Theft","?","Trivial Damage","None","VA","Hillsdale","2333 Maple Lane","13","1","NO","0","3","YES","6490","1180","1180","4130","Volkswagen","Jetta","2002"
"284","48","498140","5/15/1997","IN","500/1000","2000","769.95","0","605486","MALE","Masters","prof-specialty","movies","not-in-family","0","-44200","1/19/2015","Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","NY","Hillsdale","1012 5th Lane","16","2","?","2","3","NO","60940","5540","11080","44320","Audi","A3","2013"
"275","41","498875","10/26/1996","OH","100/300","2000","1514.72","0","617970","MALE","High School","transport-moving","board-games","own-child","35700","0","2/2/2015","Multi-vehicle Collision","Front Collision","Major Damage","Fire","NY","Northbrook","7477 MLK Drive","13","3","YES","0","1","?","58300","5830","11660","40810","Suburu","Legacy","2007"
"153","34","798177","3/4/2006","IL","500/1000","1000","873.64","4000000","432934","FEMALE","Associate","priv-house-serv","yachting","husband","800","0","1/30/2015","Multi-vehicle Collision","Front Collision","Minor Damage","Other","SC","Columbus","9489 3rd St","9","3","NO","2","1","?","68400","11400","11400","45600","Ford","F150","2007"
